Daily Deaths
21.0
23.0
18.0
19.0
7.0
27.0
4.0
11.0
24.0
17.0
17.0
28.0
13.0
5.0
9.0
35.0
14.0
8.0
22.0
15.0
8.0
4.0
28.0
20.0
19.0
3.0
26.0
4.0
3.0
18.0
28.0
18.0
14.0
7.0
1.0
2.0
22.0
20.0
22.0
18.0
16.0
10.0
7.0
43.0
14.0
16.0
43.0
23.0
5.0
10.0
27.0
32.0
29.0
23.0
33.0
8.0
6.0
34.0
48.0
39.0
26.0
